site.plot,DSV.change,DSV.2013,DSV.2019,Rich.2013,Rich.2019,Rich.change,obs.ext,obs.rank.ext,Scenario
1.1,-4,5,1,8,14,6,5,4.8,NA
1.11,-4.75,5,0.25,14,10,-4,8,8.625,NA
1.12,-1,1,0,18,13,-5,12,9.666666667,NA
1.13,-19,20,1,14,12,-2,8,9.125,NA
1.14,-3,5,2,12,18,6,5,7,NA
1.15,5,0,5,4,9,5,2,3.5,3
1.16,-0.75,1,0.25,15,13,-2,6,7.333333333,NA
1.17,-5,5,0,16,14,-2,8,9.5,NA
1.18,-1,1,0,12,14,2,9,6.555555556,NA
1.2,0.5,5,5.5,10,18,8,4,6,4
1.21,0,5,5,15,11,-4,11,8.090909091,NA
1.22,-19.5,20,0.5,10,11,1,8,5.875,NA
1.23,-0.5,1,0.5,16,12,-4,11,9,NA
1.24,20,0,20,9,18,9,4,5,4
1.3,-10,15,5,12,11,-1,8,6.25,NA
1.4,5,0,5,8,15,7,6,4,4
1.5,-4.5,5,0.5,4,11,7,2,2,NA
1.6,15,0,15,10,14,4,5,6.6,3
1.7,1.5,1,2.5,16,13,-3,8,7.375,4
1.8,-9,10,1,14,16,2,7,6.285714286,NA
1.9,1,0,1,9,18,9,3,5.333333333,4
2.1,-4.25,5,0.75,9,9,0,3,5.666666667,NA
2.11,50,0,50,5,8,3,1,4,1
2.12,50,0,50,6,6,0,3,3.666666667,1
2.13,2,0,2,8,7,-1,4,5,4
2.14,30,0,30,8,11,3,3,4.666666667,3
2.15,0.25,0,0.25,9,7,-2,6,5.166666667,4
2.16,-3,5,2,6,6,0,4,3.25,NA
2.17,-19.5,20,0.5,3,5,2,2,1.5,NA
2.18,0,0,0,7,7,0,3,4.333333333,NA
2.19,0,0,0,10,5,-5,6,5.666666667,NA
2.2,25,15,40,3,9,6,1,2,1
2.21,1,1,2,8,4,-4,5,4.4,4
2.22,-5,5,0,8,7,-1,5,5.8,NA
2.23,0,0,0,8,5,-3,5,5.4,NA
2.25,0,0,0,5,12,7,0,NA,NA
2.3,6.5,1,7.5,11,7,-4,6,5.333333333,4
2.4,0,0,0,12,6,-6,7,6.857142857,NA
2.5,0.25,0,0.25,6,7,1,2,3.5,4
2.6,1,0,1,7,5,-2,3,5,4
2.7,1,0,1,6,5,-1,4,3.5,4
2.8,20,0,20,6,5,-1,4,3,3
2.9,0,0,0,4,4,0,1,2,NA
3.1,35,30,65,13,11,-2,5,6.4,1
3.12,-35,50,15,9,13,4,5,5.2,NA
3.13,-10,20,10,8,8,0,5,4.6,NA
3.14,30,20,50,6,8,2,4,4.25,3
3.15,65,5,70,7,10,3,4,3.75,1
3.2,60,10,70,9,8,-1,6,4.833333333,3
3.3,50,30,80,8,7,-1,4,4.75,1
3.4,90,0,90,10,9,-1,7,6.571428571,1
3.5,20,15,35,10,4,-6,7,6,4
4.1,75,10,85,7,10,3,2,4,1
4.11,10,0,10,5,6,1,2,3.5,3
4.12,55,5,60,8,7,-1,4,5.25,1
4.13,75,5,80,8,9,1,4,5.25,1
4.14,15,60,75,7,6,-1,3,5,3
4.15,40,40,80,10,10,0,5,6.4,3
4.16,14,1,15,7,8,1,2,4,3
4.17,25,10,35,9,9,0,4,6.75,3
4.18,5,25,30,7,10,3,3,5.333333333,3
4.19,15,10,25,7,12,5,3,5.333333333,3
4.2,80,10,90,9,13,4,4,6.5,1
4.21,10,0,10,5,8,3,3,2.666666667,4
4.22,-45,50,5,4,10,6,2,2.5,NA
4.23,30,40,70,6,14,8,1,6,1
4.24,19,1,20,10,14,4,4,8,4
4.25,79,1,80,11,10,-1,6,6.666666667,3
4.3,-17.5,20,2.5,7,10,3,3,4.666666667,NA
4.4,-25,35,10,8,10,2,3,5.333333333,NA
4.5,-5,15,10,9,14,5,4,5.25,NA
4.6,50,0,50,6,9,3,2,2,1
4.7,60,15,75,7,6,-1,4,3.5,3
4.8,0,15,15,8,7,-1,2,4,NA
4.9,15,25,40,9,6,-3,5,5.8,4
5.1,45,5,50,5,9,4,1,5,1
