"site.plot","ACMI","AGGI","ALPE","ANCA","ANMA","ANQU","ANVI","AQCA","ASSY","BRIN","CAREX","CENI","CIAR","CLVIR","COST","DACA","DIAR","ECVU","EQAR","ERAN","EUCY","FAGR","FERN","FRVI","GEUR","HIVU","HYPE","INHE","JUVI","LEVU","LIVUL","LOCAN","LOCO","LOPE","LYCI","LYAM","MEAL","MELU","MEPI","MOFI","OXST","PHAR","PHPR","PLLA","PLMA","POAL","POPR","PORE","PYTE","RHCA","RUHI","RULA","RUOC","SIAN","SOARV","SOSP","SYCO","SYER","SYLA","SYNO","TAOF","TORA","TRHY","TRPRA","VAOF","VEOF","VETH","VICR","VIRI","VIRO"
1.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,1,0,0,0,0,5
1.11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,75,0,0,10,0,0,0,0,0,0,15,0,5,0,5
1.12,0,5,0,0,0,0,0,0,1,0,1,0,5,0,10,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,0,10,1,5,0,0,0,0,1,0,0,20,0,1
1.13,0,5,0,0,0,10,0,0,0,5,1,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,30,0,0,0,15,15,0,0,0,0,1,0,10,1,20
1.14,0,5,0,0,0,0,0,0,20,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,1,10,5
1.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16,0,0,0,0,0,10,0,0,10,0,1,0,0,0,0,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,15,15,0,0,0,0,1,0,1,0,1
1.17,0,0,0,0,0,1,0,0,0,0,5,0,15,0,50,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,1,0,0,0,1,0,0,10,10,5
1.18,0,1,0,0,0,1,0,0,1,0,0,0,10,0,0,5,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,10,0,20,0,1
1.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,10,0,0,0,20,5,0,1,0,5
1.21,0,10,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,1,0,5,10,0,1,0,0,1,0,5,0,5
1.22,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,40,0,1,0,0,0,0,1,0,0,1,0,10,0,20
1.23,0,5,0,0,0,5,0,0,15,0,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,5,0,10,1,1
1.24,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,15,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,10,0,0
1.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,5,1,0,0,0,1,0,0,1,0,15
1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,5,5,0,0,0,0,0,0,0,1,0
1.5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,5
1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,55,0,0,0,0,5,0,0,0,15,1,0,0,1,0
1.7,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,5,20,0,1,0,1,0,0,1,0,0,0,5,0,0,10,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,0,10,0,0,0,0,0,0,0,1,0,1
1.8,0,5,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,15,0,0,1,0,0,0,0,0,0,5,1,10
1.9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,20,10,0
2.1,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2.11,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.12,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2.13,0,10,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,10,0
2.14,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5,10,0
2.15,0,10,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,5,1,0,1,0,0
2.16,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,5
2.17,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2.18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.19,0,15,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,40,0,0,5,0,0,0,0,0,1,0,0,5,0,0
2.2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2.21,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2.22,0,0,0,0,0,0,0,0,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,5,5,5
2.23,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,1,0,0
2.25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.3,0,5,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,5,0,1
2.4,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,1,0,1,0,0
