"site.plot","ACMI","AGGI","ANCA","ANMA","ANVI","ANCA.1","ASSY","BRIN","CAREX","CENI","CIAR","CLVIR","COST","DACA","DIAR","ECVU","EQAR","ERAN","FAGR","FERN","FRVI","GEUR","HIVU","HYPE","INHE","LEVU","LIVUL","LOCAN","LOCO","LOPE","LYAM","MEAL","MELU","MEPI","MOFI","OXST","PHAR","PHPR","PIST","PLLA","POAL","POPR","PORE","RAAC","RHCA","ROMU","RUHI","RULA","RUOC","SEVA","SOARV","SOSP","STME","SYCO","SYER","SYLA","SYNO","TAOF","TORA","TRHY","TRPRA","VAOF","VEOF","VETH","VICR","VIRI","VIRO"
1.1,0,0,3,0,0,0,0,2,0,0,0,0,60,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,0,1.25,0,0,1,5,1
1.11,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0.25,0,0,0,0,2.5,0,0,10,0,0.25
1.12,0,0,0,0,0,0,0.25,0.5,0,0,0,0,60,0,0,0,0,0,5,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,5,0,0,0,2.5,0,0,0,0,0,7.5,0,0,0.5,0,0
1.13,0,0,50,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,4,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0.25,0,0,0,2.5,0,0,5,0,1
1.14,0,0,0.5,0,0,0,0,5,0,0,2,0,2.5,0.5,0,0,0,0,0.25,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0.5,0.5,0,0,0,5,0,0,0,0.5,0,2,0.25,0,0,0,0,0,0.25,5,0,0,0,5,0,0.5,0,0,0,0,0,0,5,0,2
1.15,0,0,30,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,10,1,0,0,0,0,0,0,0,0.5,0,5
1.16,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,30,0,0,0,0,0,0,0,0.5,0,0,0,0,5,0,0,0,5,0,0.25,0,0,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,0,0,0,7.5,0,0.25
1.17,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0.25,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,15,0,0,1,0.5,0.25,0,0,0,0,2.5,0,0,15,15,0
1.18,0,0,15,0,0,0,0,0,0,0,0,0,50,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.25,0,0,0,2.5,0,0,2,0,0
1.2,0,0,0,0,0,0,0,30,0.5,0,1,0,0,15.5,0,0,0,0,5,0,0,0,0,2.75,0,2.5,0,0,0,0,0,0,0.75,0,0,0,0,6,0,0,0,1.5,0,0,0,0,0,0,0,0,0,45,0,0,0.25,16,0,1.25,0,0,1,0,1,0,11,1,5.5
