"","obs.num.ext","ext.rnd.mean","ext.rnd.lower","ext.rnd.upper","ext.z.value","ext.p.value","obs.ext.rank","rank.mean","rank.lower","rank.upper","rank.z.value","rank.p.value"
"1.15",2,2.24024024024024,2,3,-0.550102120979318,0.3825,3.5,7.3672005338672,6.66666666666667,7.5,-15.4404647519852,0.001
"1.2",4,5.03003003003003,5,6,-6.03219518168795,0.001,6,17.984984984985,17.5,18,-140.376040642079,0.001
"1.24",4,1.2962962962963,1,2,5.55643079138401,0,5,17.8011344678011,17,18,-31.9162469753466,0.001
"1.4",6,2.12312312312312,2,3,11.7930303090392,0,4,15.4320987654321,15,15.5,-61.4080796494884,0.001
"1.6",5,6.23423423423423,6,7,-2.81988367503301,0.001,6.6,17.3741777491778,16.8571428571429,17.5,-44.8859901465794,0.001
"1.7",8,9.00900900900901,9,9,-10.6734349261244,0.001,7.375,27.9954954954955,28,28,-436.252827973805,0.001
"1.9",3,5.02102102102102,5,5,-14.0812033639172,0.001,5.33333333333333,15.9894894894895,16,16,-148.490787925291,0.001
"2.11",1,5.34134134134134,3,7,-3.85666724120132,0.001,4,7.14297035130368,6.14285714285714,8.5,-4.97445553485308,0.001
"2.12",3,3.58058058058058,2,6,-0.595926129861711,0.3055,3.66666666666667,10.1033128366462,8.4,11.5,-6.92254885193827,0.001
"2.13",4,2.03003003003003,2,3,11.5367931171641,0,5,15.484984984985,15,15.5,-122.807052343227,0.001
"2.14",3,3.64964964964965,3,5,-0.923963601830155,0.239,4.66666666666667,14.5569402736069,13,15,-18.315231542775,0.001
"2.15",6,3.02502502502503,3,3.04999999999995,19.0362696878705,0,5.16666666666667,16.9874874874875,16.975,17,-151.278135090217,0.001
"2.2",1,1.94894894894895,1,3,-1.34014266297401,0.134,2,5.38847180513847,4.33333333333333,6,-7.0019895071915,0.001
"2.21",5,3.01901901901902,3,3,14.4956763038443,0,4.4,14.9904904904905,15,15,-154.990202857042,0.001
"2.3",6,7.11311311311311,7,8,-3.4780868022872,0.001,5.33333333333333,18.9424563452341,18.5,19,-83.2640132592372,0.001
"2.5",2,3.02902902902903,3,4,-6.12619441594658,0.001,3.5,10.9852352352352,10.5,11,-87.2535509047275,0.001
"2.6",3,3.02102102102102,3,3,-0.146461253413701,0.49,5,12.9894894894895,13,13,-111.331475630614,0.001
"2.7",4,1.02202202202202,1,1,20.2820044807168,0,3.5,11.988988988989,12,12,-115.631286721828,0.001
"2.8",4,3.43443443443443,3,5,0.97550792215196,0.216,3,10.7358692025359,9.8,11,-20.600881985329,0.001
"3.1",5,9.7017017017017,9,11,-6.75769566562911,0.001,6.4,21.5563396730063,20.4545454545455,22,-32.4574521777491,0.001
